암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQxMyQzNjE0ODEjNTEjJDEjJDYjJDgz,아산신경외과의원,의원,경기도,용인시 기흥구,"경기도 용인시 기흥구 용구대로 2398 (마북동, 연원마을 벽산상가401호)",신경외과,2014-09-15
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,아산신경외과의원,의원,경기도,김포시,"경기도 김포시 김포한강4로 117, 홍우프라자 704호 (장기동)",신경외과,2020-04-03
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,아산아이톡안과의원,의원,서울특별시,광진구,"서울특별시 광진구 아차산로 402, NC이스트폴 지하2층 12호 (자양동)",안과,2025-12-17
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz,아산안과의원,의원,경기도,김포시,"경기도 김포시 김포한강4로 113, 신한프라자 4층 402, 406호 (장기동)",안과,2019-12-11
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQxIyQ3IyQ4OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,아산약국,약국,서울특별시,송파구,"서울특별시 송파구 토성로 26, 강진빌딩 104,105호 (풍납동)",해당사항없음,1997-08-09
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxMzUxIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz,아산약국,약국,강원특별자치도,홍천군,강원특별자치도 홍천군 홍천읍 산림공원2길 13,해당사항없음,2018-11-01
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ3MiQyNjE4MzIjNTEjJDEjJDIjJDgz,아산약국,약국,충청남도,아산시,충청남도 아산시 삼동로40번길 33 (모종동),해당사항없음,2004-05-20
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxOTYxIzExIyQxIyQzIyQxMyQyNjE4MzIjODEjJDEjJDYjJDgz,아산약국,약국,전북특별자치도,정읍시,전북특별자치도 정읍시 충정로 606-19 (용계동),해당사항없음,2010-09-30
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMTkxIzMxIyQyIyQzIyQwMCQyNjEwMDIjNjEjJDEjJDAjJDgz,아산약국,약국,경기도,이천시,경기도 이천시 애련정로87번길 57 (창전동),해당사항없음,2013-10-29
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz,아산에이정형외과의원,의원,대구광역시,수성구,"대구광역시 수성구 지범로 161, 1층, 5~6층 (지산동)",정형외과,2018-04-02
